id,hotel_id,overall_rating,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,sleep_quality_rating,pic_num,tourism,mobile,review_date,helpful_count,owner_replied
89182351,199068,4,3,4,5,5,4,4,0,family,N,06/12/2010,5,N
90041008,199068,5,4,3,5,5,4,4,0,family,N,16/12/2010,6,N
90365183,199068,5,5,5,5,5,5,5,0,family,N,20/12/2010,6,N
90579228,199068,5,5,4,5,5,5,5,8,family,N,23/12/2010,4,N
92906199,199068,3,4,3,5,5,5,5,0,couple,N,14/01/2011,5,N
95787110,199068,5,5,5,5,5,5,5,0,family,N,07/02/2011,6,N
104027521,199068,3,4,3,4,5,5,,2,,N,14/04/2011,3,N
107340372,199068,4,4,5,5,5,5,5,0,family,N,08/05/2011,0,N
111946364,199068,4,4,,,4,4,4,4,family,N,07/06/2011,6,N
116305586,199068,5,5,,,5,5,5,0,family,N,05/08/2011,6,N
121776860,199068,4,4,4,4,4,4,4,0,family,N,15/12/2011,3,N
121804995,199068,3,3,3,4,3,3,3,0,family,N,16/12/2011,3,N
121833877,199068,4,5,4,5,4,5,5,0,family,N,17/12/2011,1,N
121889474,199068,4,3,3,3,3,3,3,0,family,N,19/12/2011,0,N
121954923,199068,4,5,5,5,5,4,5,0,family,N,21/12/2011,0,N
122042551,199068,3,3,4,4,4,3,4,3,family,N,23/12/2011,0,N
122046341,199068,4,2,3,3,4,4,4,0,family,N,23/12/2011,1,N
122057946,199068,5,5,4,5,5,5,,4,,N,24/12/2011,0,N
122131056,199068,4,4,4,5,5,4,5,3,family,N,27/12/2011,0,N
122134848,199068,3,3,3,3,3,4,4,0,family,N,27/12/2011,0,N
122150082,199068,4,3,3,4,3,4,4,0,friends,N,27/12/2011,2,N
122173469,199068,4,4,3,5,4,4,2,0,family,N,28/12/2011,3,N
122234134,199068,4,5,3,4,4,4,3,1,family,N,29/12/2011,3,N
122541322,199068,5,5,3,5,5,4,,0,,N,04/01/2012,1,N
122562307,199068,5,5,4,5,5,5,,0,,N,05/01/2012,3,N
122757869,199068,4,4,4,5,5,5,4,0,family,N,08/01/2012,2,N
123518506,199068,5,5,4,5,5,5,,0,,N,23/01/2012,0,N
123901223,199068,5,4,4,5,4,5,4,0,family,N,31/01/2012,5,N
125677086,199068,3,3,4,4,3,1,3,0,couple,N,05/03/2012,4,N
135196048,199068,3,3,2,5,4,3,3,0,family,N,23/07/2012,7,N
146846733,199068,5,4,4,5,5,5,4,4,family,N,05/12/2012,1,N
146905308,199068,4,4,4,5,5,5,5,0,family,N,06/12/2012,3,N
147623396,199068,3,3,4,4,4,3,3,0,family,N,17/12/2012,3,N
147846573,199068,5,4,3,5,4,5,5,6,couple,N,21/12/2012,2,N
148293421,199068,1,1,1,2,1,1,1,0,family,N,29/12/2012,5,N
148305191,199068,4,5,3,5,5,4,4,0,family,N,29/12/2012,3,N
148508450,199068,4,4,3,4,2,4,,0,,Y,01/01/2013,1,N
148781527,199068,4,4,5,5,5,5,4,2,family,N,04/01/2013,4,N
148890594,199068,5,5,5,5,5,5,5,0,family,N,05/01/2013,3,N
149249611,199068,4,4,3,5,3,4,5,0,family,N,09/01/2013,1,N
152524206,199068,5,5,5,5,5,5,5,0,friends,N,19/02/2013,4,N
157019406,199068,3,3,,,,4,,4,couple,N,08/04/2013,0,N
187386554,199068,5,5,5,5,5,5,5,0,family,N,11/12/2013,3,N
188159201,199068,4,4,4,5,5,5,4,0,family,N,20/12/2013,4,N
189338413,199068,4,3,4,4,4,4,,1,,Y,02/01/2014,2,N
189600591,199068,4,5,3,5,5,5,5,0,friends,N,04/01/2014,2,N
189701868,199068,3,2,2,4,1,2,3,0,family,N,05/01/2014,1,N
189878054,199068,4,3,3,4,3,3,3,0,family,N,06/01/2014,3,N
192740702,199068,4,5,4,5,5,5,5,0,family,N,01/02/2014,3,N
200554476,199068,4,4,,,,4,4,0,solo,N,10/04/2014,1,N
208851044,199068,3,3,3,4,3,3,2,0,family,N,04/06/2014,1,N
224931063,199068,4,,,,,,,0,,N,27/08/2014,0,N
243534783,199068,5,4,4,4,4,5,,0,,Y,08/12/2014,3,N
244325395,199068,5,,5,,,5,5,0,family,N,13/12/2014,6,N
244443801,199068,4,,4,,5,4,,1,family,N,14/12/2014,4,N
245157882,199068,4,4,,4,,4,,0,family,N,19/12/2014,1,N
246380781,199068,5,,4,,5,5,,0,family,N,29/12/2014,3,N
246545344,199068,5,5,,,5,5,,0,family,N,30/12/2014,1,N
246813874,199068,5,4,,5,,5,,1,family,N,01/01/2015,0,N
247676736,199068,4,,4,,4,4,,5,family,N,05/01/2015,3,N
249806216,199068,5,5,5,,,5,,0,family,N,17/01/2015,2,N
255765717,199068,4,4,4,,,4,,0,friends,N,22/02/2015,0,N
257423327,199068,4,4,3,5,4,4,3,0,couple,N,03/03/2015,1,N
260147773,199068,4,3,,,,4,4,0,couple,N,17/03/2015,0,N
265136269,199068,4,,,5,,4,5,0,family,N,11/04/2015,2,N
330947392,199068,4,,,,,,,0,family,Y,05/12/2015,8,N
332652682,199068,4,,,,,,,0,family,Y,14/12/2015,1,N
333072268,199068,5,5,,,,5,5,0,family,N,15/12/2015,1,N
334547546,199068,5,,3,,,5,4,0,family,N,22/12/2015,0,N
334778243,199068,4,,,,,,,0,family,Y,24/12/2015,3,N
335797556,199068,1,,,,,,,0,family,Y,29/12/2015,0,N
336146985,199068,4,,,,,,,0,,N,30/12/2015,0,N
337327997,199068,4,,,,,,,0,friends,Y,04/01/2016,0,N
339486946,199068,4,,,,3,4,3,6,family,N,12/01/2016,0,N
342408754,199068,2,2,2,,,3,,0,family,N,24/01/2016,0,N
646693,199923,5,,,,,,,0,,N,11/08/2002,18,N
1496549,199923,2,,,,,,,0,,N,22/11/2003,14,N
1747243,199923,5,,,,,,,0,,N,25/03/2004,3,N
1754696,199923,5,,,,,,,0,,N,29/03/2004,2,N
1763237,199923,4,,,,,,,0,,N,03/04/2004,2,N
2268991,199923,5,5,5,,5,5,,0,,N,05/07/2004,6,N
2583704,199923,5,,,,,,,0,,N,17/09/2004,3,N
3085520,199923,5,,,,,,,0,,N,24/01/2005,3,N
3215331,199923,5,,,,,,,0,,N,21/02/2005,1,N
3429700,199923,5,3,5,,5,4,,0,,N,30/04/2005,4,N
3534397,199923,5,5,5,,5,5,,0,business,N,05/06/2005,3,N
3734910,199923,5,5,5,,5,5,,0,,N,02/08/2005,7,N
3737665,199923,5,,,,,,,0,,N,03/08/2005,7,N
3812280,199923,5,,,,,,,0,,N,27/08/2005,14,N
3935835,199923,5,5,5,,5,5,,0,,N,23/09/2005,3,N
4044911,199923,5,5,5,,5,5,,0,,N,22/10/2005,4,N
4077372,199923,5,5,5,,5,5,,0,,N,31/10/2005,5,N
4129252,199923,5,3,5,,5,5,,0,business,N,19/11/2005,13,N
4129844,199923,4,3,4,,4,4,,0,business,N,20/11/2005,7,N
4136609,199923,4,,,,,,,0,,N,21/11/2005,2,N
4252338,199923,4,,,,,,,0,,N,19/12/2005,11,N
4395583,199923,5,3,5,,5,5,,0,,N,28/01/2006,9,N
4450669,199923,5,3,5,,5,5,,0,,N,09/02/2006,16,N
4825730,199923,5,4,5,,5,5,,3,,N,31/03/2006,9,N
5015150,199923,5,5,5,,5,5,,0,,N,26/04/2006,6,N
5236518,199923,5,5,5,,5,5,,0,,N,29/05/2006,14,N
5314121,199923,5,4,5,,5,5,,0,,N,05/06/2006,6,N
5317821,199923,5,3,5,,5,4,,0,,N,06/06/2006,8,N
5466474,199923,5,4,5,,4,5,,0,,N,13/07/2006,3,N
5625020,199923,5,,,,,,,0,,N,18/08/2006,4,N
5628234,199923,4,4,4,4,5,5,,0,couple,N,19/08/2006,2,N
5692332,199923,3,,,,,,,0,,N,21/08/2006,5,N
5718662,199923,4,4,4,5,5,5,,0,family,N,28/08/2006,6,N
5764277,199923,3,3,4,5,5,2,,0,solo,N,02/09/2006,6,N
5795455,199923,4,5,4,5,4,4,,6,business,N,12/09/2006,9,N
5800636,199923,5,5,5,5,5,5,,0,friends,N,13/09/2006,5,N
5824312,199923,5,5,5,5,5,5,,0,,N,19/09/2006,5,N
5943323,199923,5,5,5,5,5,5,,0,couple,N,10/10/2006,5,N
5967266,199923,5,5,5,5,5,5,,0,family,N,17/10/2006,4,N
6003752,199923,5,4,4,5,4,4,,0,couple,N,22/10/2006,4,N
6109658,199923,5,5,5,5,5,5,,5,couple,N,11/11/2006,11,N
6155650,199923,5,5,5,5,5,5,,0,couple,N,19/11/2006,7,N
6472697,199923,5,5,5,5,4,5,,0,business,N,18/12/2006,7,N
6545604,199923,5,5,5,5,5,5,,0,family,N,02/01/2007,10,N
6545897,199923,5,5,5,5,5,5,,0,business,N,02/01/2007,7,N
6562674,199923,5,5,5,5,5,5,,0,business,N,06/01/2007,8,N
6589397,199923,5,4,5,5,5,4,,0,business,N,12/01/2007,15,N
6615369,199923,5,5,5,5,5,5,,0,business,N,17/01/2007,16,N
7271169,199923,5,5,5,5,5,5,,0,,N,01/04/2007,8,N
7378779,199923,5,5,5,5,5,5,,0,couple,N,16/04/2007,8,N
7420335,199923,5,4,5,5,5,5,,0,couple,N,22/04/2007,7,N
7555982,199923,5,,,,,,,0,,N,06/05/2007,17,N
7975173,199923,4,2,5,5,5,5,,0,business,N,23/06/2007,17,N
8133668,199923,5,5,5,5,5,5,,0,couple,N,16/07/2007,16,N
8219972,199923,5,4,5,5,5,5,,0,couple,N,22/07/2007,14,N
8267650,199923,5,5,5,5,5,4,,0,couple,N,30/07/2007,4,N
8271325,199923,5,5,5,5,5,5,,0,family,N,31/07/2007,4,N
8380877,199923,4,4,3,5,4,3,,0,family,N,08/08/2007,3,N
8383581,199923,4,4,5,5,5,5,,0,couple,N,09/08/2007,5,N
8420414,199923,2,2,3,5,3,1,,0,business,N,13/08/2007,8,N
8424741,199923,5,5,5,5,5,,,0,couple,N,14/08/2007,4,N
8458034,199923,4,4,4,5,5,3,,0,couple,N,19/08/2007,2,N
8460899,199923,5,5,5,5,5,5,,0,business,N,19/08/2007,3,N
8640205,199923,5,4,5,5,5,4,,0,business,N,03/09/2007,1,N
8665068,199923,5,5,5,5,5,5,,0,friends,N,05/09/2007,1,N
8749780,199923,5,5,5,5,5,4,,0,business,N,17/09/2007,2,N
10021660,199923,5,5,5,5,5,5,,0,family,N,30/09/2007,3,N
10034146,199923,5,4,4,4,5,5,,0,couple,N,03/10/2007,2,N
10240113,199923,5,5,5,4,5,5,,8,solo,N,22/10/2007,6,N
10331812,199923,3,2,4,5,4,2,,3,,N,25/10/2007,1,N
10790950,199923,5,5,5,,5,5,,0,business,N,13/11/2007,2,N
11073008,199923,5,4,5,5,5,5,,0,couple,N,26/11/2007,13,N
11188064,199923,4,3,5,5,5,4,,0,business,N,01/12/2007,4,N
11720320,199923,2,2,2,5,4,1,,0,friends,N,20/12/2007,8,N
12640634,199923,5,5,5,5,5,5,,6,solo,N,15/01/2008,8,N
13606119,199923,5,5,5,5,5,5,,0,business,N,16/02/2008,2,N
14427767,199923,5,5,5,5,5,5,,4,business,N,21/03/2008,3,N
15179765,199923,2,3,3,4,4,,,0,couple,N,21/04/2008,4,N
15633905,199923,5,5,5,5,5,5,,0,couple,N,04/05/2008,2,N
16424693,199923,5,5,5,5,5,5,,0,business,N,26/05/2008,0,N
16997990,199923,3,2,3,5,,4,,0,business,N,17/06/2008,3,N
17273927,199923,3,4,4,5,5,2,,4,family,N,27/06/2008,2,N
17815576,199923,5,5,5,5,5,5,,0,couple,N,12/07/2008,0,N
17894477,199923,5,5,5,5,5,5,,0,couple,N,14/07/2008,1,N
18386674,199923,5,5,5,5,5,5,,0,couple,N,29/07/2008,1,N
18647645,199923,5,5,4,5,5,4,,0,business,N,05/08/2008,0,N
18904005,199923,4,4,4,4,5,4,,0,business,N,12/08/2008,0,N
19176203,199923,4,4,4,5,4,5,,0,family,N,20/08/2008,1,N
22099248,199923,5,5,5,5,5,5,,0,solo,N,22/11/2008,0,N
22335914,199923,4,3,4,5,5,3,,0,couple,N,30/11/2008,0,N
23343067,199923,5,4,5,5,5,5,,2,business,N,07/01/2009,1,N
23735234,199923,4,4,5,4,5,5,,0,business,N,20/01/2009,1,N
24101237,199923,5,,,,,,,0,,N,02/02/2009,1,N
24471153,199923,5,4,5,5,5,5,,0,business,N,11/02/2009,1,N
25077355,199923,5,4,4,4,5,5,,0,family,N,24/02/2009,0,N
25167384,199923,5,4,5,5,4,5,,0,couple,N,25/02/2009,0,N
25290262,199923,5,4,5,5,5,5,,0,family,N,27/02/2009,2,N
26685406,199923,5,5,5,5,5,5,,0,couple,N,23/03/2009,2,N
27132594,199923,5,4,5,4,5,5,,0,friends,N,30/03/2009,0,N
27752728,199923,3,2,3,5,5,3,,0,business,N,10/04/2009,2,N
29208208,199923,5,4,5,5,5,5,,1,couple,N,02/05/2009,1,N
29257508,199923,5,3,5,5,5,4,,0,business,N,03/05/2009,0,N
29445308,199923,3,4,2,4,1,3,,3,business,N,06/05/2009,2,N
30157942,199923,4,3,5,5,5,4,,0,couple,N,17/05/2009,1,N
30423092,199923,4,3,4,5,5,3,,0,business,N,21/05/2009,1,N
32280054,199923,5,,,,,,,0,,N,14/06/2009,0,N
33148517,199923,5,5,5,5,5,4,,0,couple,N,25/06/2009,0,N
33425192,199923,5,5,5,5,5,5,,5,family,N,28/06/2009,0,N
33729658,199923,5,3,5,5,5,5,,0,business,N,02/07/2009,2,N
33857888,199923,5,4,5,5,5,5,,0,couple,N,04/07/2009,0,N
35045546,199923,5,,5,5,5,5,,0,couple,N,17/07/2009,0,N
35059080,199923,4,4,5,5,5,4,,0,solo,N,18/07/2009,0,N
35061289,199923,5,3,5,5,5,5,,0,couple,N,18/07/2009,0,N
35148528,199923,5,5,5,5,5,5,,0,couple,N,19/07/2009,0,N
35231988,199923,4,4,4,5,4,3,,0,couple,N,20/07/2009,0,N
37246482,199923,4,3,3,5,5,4,,0,couple,N,10/08/2009,0,N
37637599,199923,3,3,4,5,4,4,,0,couple,N,14/08/2009,1,N
38130759,199923,5,4,5,5,5,5,,0,couple,N,19/08/2009,0,N
38728906,199923,5,,,,,,,0,business,N,25/08/2009,0,N
39496700,199923,4,3,4,5,3,4,,0,couple,N,01/09/2009,0,N
39499266,199923,4,3,5,5,4,4,,0,family,N,01/09/2009,0,N
39899126,199923,5,3,4,5,5,4,,0,couple,N,06/09/2009,0,N
39966641,199923,3,1,2,4,4,3,,0,family,N,06/09/2009,0,N
40148854,199923,5,4,5,5,5,5,,0,family,N,08/09/2009,0,N
40737389,199923,4,3,5,5,5,4,,0,couple,N,10/09/2009,0,N
46677589,199923,4,3,5,5,4,4,,0,business,N,12/10/2009,0,N
48702899,199923,5,,,,,,,0,,N,07/11/2009,0,N
50503725,199923,3,4,3,5,4,4,,0,couple,N,02/12/2009,0,N
50611694,199923,4,4,1,4,4,4,,0,couple,N,03/12/2009,0,N
50942660,199923,5,4,5,5,5,5,,0,family,N,09/12/2009,2,N
51417525,199923,4,4,4,5,4,4,,4,friends,N,17/12/2009,3,N
52156577,199923,5,4,5,5,5,4,,0,couple,N,30/12/2009,1,N
52301863,199923,5,4,5,5,4,4,,2,business,N,01/01/2010,1,N
52878406,199923,5,4,5,5,5,5,,0,family,N,07/01/2010,1,N
52914979,199923,5,5,5,5,5,4,,0,friends,N,08/01/2010,2,N
53074270,199923,4,3,5,4,4,2,,0,couple,N,10/01/2010,1,N
55025032,199923,4,3,5,5,4,5,4,0,couple,N,02/02/2010,1,N
55826149,199923,4,,,,,,,0,business,N,12/02/2010,4,N
56419983,199923,4,3,5,5,5,4,4,4,couple,N,18/02/2010,2,N
56608018,199923,4,,,,,,,0,couple,N,20/02/2010,0,N
57148536,199923,5,4,5,5,5,5,5,0,business,N,25/02/2010,2,N
57232461,199923,5,4,5,5,5,5,5,0,couple,N,27/02/2010,2,N
58165452,199923,3,3,3,5,4,4,1,0,business,N,09/03/2010,1,Y
64411404,199923,5,4,5,5,5,5,5,2,couple,N,17/05/2010,1,N
64471386,199923,3,1,2,5,4,4,2,4,couple,N,18/05/2010,0,N
64770861,199923,4,4,4,5,5,4,,0,,N,19/05/2010,0,N
66192206,199923,5,4,5,5,5,3,5,0,couple,N,02/06/2010,0,N
67207863,199923,3,3,4,5,3,2,4,0,business,N,11/06/2010,2,N
67915021,199923,5,4,5,5,5,5,5,1,business,N,18/06/2010,1,N
69105617,199923,3,2,4,5,5,5,3,0,business,N,29/06/2010,5,N
69905587,199923,5,5,5,5,5,5,5,0,couple,N,06/07/2010,1,N
71034939,199923,5,5,5,5,5,5,5,0,couple,N,15/07/2010,0,N
71632808,199923,5,5,5,5,5,5,5,2,couple,N,20/07/2010,2,N
73031429,199923,5,4,4,5,5,4,5,0,couple,N,30/07/2010,0,N
73361812,199923,5,,,,,,,0,family,N,02/08/2010,0,N
74737983,199923,5,4,5,5,5,5,5,0,solo,N,11/08/2010,0,N
74871234,199923,5,4,5,5,4,5,5,0,couple,N,12/08/2010,0,N
75037595,199923,5,4,5,5,5,5,5,0,couple,N,13/08/2010,0,N
75822567,199923,5,4,5,5,5,2,5,0,couple,N,18/08/2010,0,N
75875749,199923,4,3,4,3,4,3,4,0,solo,N,19/08/2010,1,N
76358356,199923,5,5,5,5,5,5,5,0,business,N,22/08/2010,0,N
76363026,199923,5,4,5,5,5,5,5,0,,N,22/08/2010,0,N
76829157,199923,5,5,5,5,5,5,5,0,couple,N,25/08/2010,0,N
77076964,199923,5,3,5,5,5,4,4,0,couple,N,27/08/2010,0,N
77144220,199923,5,5,5,5,5,5,5,0,,N,27/08/2010,0,N
77233964,199923,5,5,5,5,5,5,5,0,business,N,28/08/2010,1,N
77243630,199923,5,5,4,5,5,5,4,0,friends,N,28/08/2010,0,N
77784920,199923,5,5,5,5,5,5,5,0,,N,01/09/2010,1,N
78514334,199923,5,4,5,5,5,5,5,0,solo,N,06/09/2010,0,N
79038938,199923,5,5,5,5,5,5,5,0,family,N,10/09/2010,0,N
81279197,199923,3,3,3,5,3,2,5,0,friends,N,27/09/2010,2,N
82475761,199923,5,3,5,5,5,5,5,0,business,N,07/10/2010,0,N
83327139,199923,4,4,4,5,5,5,5,0,business,N,13/10/2010,0,N
84641274,199923,5,4,5,5,5,5,5,0,couple,N,24/10/2010,0,N
85149562,199923,4,3,5,5,5,5,5,0,business,N,28/10/2010,1,N
85430439,199923,5,4,5,5,5,5,5,0,business,N,31/10/2010,0,N
85467746,199923,4,3,5,5,5,4,4,0,couple,N,31/10/2010,1,N
85572915,199923,3,2,3,4,4,2,3,0,business,N,01/11/2010,2,N
87395723,199923,4,4,5,5,5,5,5,0,solo,N,17/11/2010,2,N
88822694,199923,5,4,4,5,5,5,4,0,business,N,02/12/2010,0,N
89376075,199923,2,1,3,2,4,1,3,0,business,N,08/12/2010,4,N
91238352,199923,4,4,4,5,4,5,5,0,solo,N,31/12/2010,1,N
91420265,199923,5,4,5,5,5,5,4,0,couple,N,02/01/2011,2,N
91997656,199923,5,4,5,5,5,5,5,0,business,N,06/01/2011,1,N
92279846,199923,5,4,5,5,5,5,5,0,couple,N,09/01/2011,0,N
92284692,199923,5,4,5,5,5,5,5,0,couple,N,09/01/2011,0,N
95627080,199923,2,2,1,4,4,3,2,0,business,N,05/02/2011,8,N
101927886,199923,5,5,5,5,5,5,,0,,N,28/03/2011,3,N
104002692,199923,5,4,5,5,5,5,5,0,,N,13/04/2011,0,N
107164692,199923,5,5,5,5,5,5,5,0,solo,N,06/05/2011,3,N
107211575,199923,5,4,5,5,5,5,5,0,couple,N,07/05/2011,2,N
107503490,199923,3,3,5,5,4,3,5,2,couple,N,09/05/2011,1,N
110016418,199923,2,1,3,5,5,3,4,0,business,N,26/05/2011,7,N
110056960,199923,4,3,4,5,4,3,,0,,N,27/05/2011,2,N
111585964,199923,5,4,5,5,5,4,,0,,N,05/06/2011,3,N
112843092,199923,4,3,,,4,4,3,0,business,N,12/06/2011,1,N
112958141,199923,5,4,4,5,5,4,,0,,N,12/06/2011,0,N
113164556,199923,4,3,,,5,4,5,0,couple,N,13/06/2011,1,N
113409403,199923,3,3,,,5,3,4,0,couple,N,14/06/2011,2,N
113503593,199923,5,5,,,5,5,5,0,couple,N,14/06/2011,0,N
114584593,199923,5,3,,,5,4,5,0,couple,N,20/06/2011,2,N
114673322,199923,4,3,,,3,4,5,7,couple,N,23/06/2011,0,N
115175033,199923,4,4,,,4,5,1,0,family,N,08/07/2011,0,N
115209891,199923,4,3,,,5,3,4,0,business,N,10/07/2011,0,N
115228267,199923,5,5,,,5,5,5,0,family,N,10/07/2011,0,N
115495316,199923,5,5,,,5,5,5,0,family,N,18/07/2011,2,N
115678692,199923,3,4,,,4,2,5,0,family,N,23/07/2011,5,N
115952764,199923,3,3,,,3,5,3,0,family,N,29/07/2011,2,N
115962679,199923,5,4,5,5,5,5,,0,,N,29/07/2011,1,N
116009608,199923,5,,,,,,,0,business,N,30/07/2011,2,N
116072285,199923,5,5,,,5,5,5,0,couple,N,31/07/2011,0,N
116150326,199923,5,4,,,5,4,5,0,family,N,02/08/2011,0,N
116279177,199923,5,4,,,5,5,5,2,couple,N,04/08/2011,0,N
116484000,199923,5,5,,,5,5,5,0,couple,N,09/08/2011,0,N
116605022,199923,5,5,,,5,5,5,0,family,N,12/08/2011,1,N
116623958,199923,3,1,,,4,3,4,0,solo,N,12/08/2011,3,N
116691745,199923,5,,,,5,5,5,0,solo,N,14/08/2011,0,N
116739291,199923,5,3,,,5,5,5,0,family,N,15/08/2011,1,N
116774813,199923,4,4,,,5,4,5,0,solo,N,15/08/2011,0,N
116800724,199923,5,4,,,5,5,5,0,family,N,16/08/2011,1,N
116895987,199923,4,4,,,5,4,5,0,couple,N,18/08/2011,0,N
117045896,199923,4,4,,,5,4,4,0,business,N,21/08/2011,0,N
117089982,199923,4,3,,,5,4,5,0,couple,N,22/08/2011,0,N
117197652,199923,5,5,,,5,5,5,0,family,N,24/08/2011,2,N
117267065,199923,3,2,,,3,2,4,0,solo,N,26/08/2011,2,N
117308054,199923,4,3,,,4,5,5,0,couple,N,27/08/2011,0,N
117351245,199923,5,3,5,5,5,4,5,3,couple,N,28/08/2011,0,N
117380755,199923,5,5,,,5,5,5,0,family,N,28/08/2011,0,N
117427979,199923,3,3,,,5,4,5,0,friends,N,29/08/2011,0,N
117456906,199923,5,5,,,5,5,,0,couple,N,30/08/2011,0,N
117491104,199923,3,,,,,,,0,family,N,31/08/2011,1,N
117617888,199923,5,5,,,5,5,5,0,family,N,03/09/2011,1,N
117711147,199923,5,3,,,4,4,5,0,business,N,05/09/2011,0,N
117973187,199923,4,3,,,3,4,4,3,solo,N,12/09/2011,0,N
118003418,199923,5,4,,,5,5,5,1,solo,N,12/09/2011,1,N
118017534,199923,3,2,,,4,3,4,0,business,N,12/09/2011,3,N
118085568,199923,5,5,4,5,,5,,0,couple,N,13/09/2011,1,N
118101703,199923,5,3,4,5,,5,,0,couple,N,14/09/2011,1,N
118134494,199923,5,4,5,5,,5,,3,family,N,14/09/2011,0,N
118311783,199923,5,4,4,5,,5,,0,couple,N,19/09/2011,1,N
118374115,199923,4,3,5,5,3,4,4,0,couple,N,20/09/2011,0,N
118551207,199923,4,5,4,5,5,4,,0,,N,24/09/2011,0,N
118561003,199923,4,4,3,5,5,3,5,0,solo,N,25/09/2011,0,N
118620899,199923,5,4,5,5,5,4,5,0,couple,N,26/09/2011,0,N
118670947,199923,4,4,4,5,5,4,5,0,solo,N,27/09/2011,0,N
118677697,199923,4,4,4,5,4,5,2,0,business,N,27/09/2011,0,N
118717776,199923,4,,,,,,,0,family,N,28/09/2011,1,N
118725535,199923,5,5,5,5,5,5,5,0,solo,N,29/09/2011,0,N
118780865,199923,3,2,4,5,3,3,4,0,family,N,30/09/2011,1,N
118846683,199923,3,3,4,5,4,3,5,0,solo,N,02/10/2011,3,N
118948510,199923,5,5,5,5,5,5,5,0,couple,N,04/10/2011,2,N
119172662,199923,5,5,5,5,5,4,5,0,couple,N,11/10/2011,1,N
119246902,199923,1,1,1,5,1,3,1,0,family,N,13/10/2011,5,N
119435214,199923,5,5,5,5,5,5,4,0,couple,N,18/10/2011,0,N
119548740,199923,4,2,4,5,4,4,4,3,business,N,21/10/2011,0,N
119790014,199923,5,4,5,5,5,5,5,0,couple,N,27/10/2011,0,N
120074037,199923,5,5,5,5,5,5,5,0,family,N,02/11/2011,0,N
120163217,199923,5,5,5,5,5,5,5,0,business,N,04/11/2011,0,N
120274869,199923,4,4,5,5,5,5,4,0,business,N,07/11/2011,0,N
120412044,199923,5,4,5,5,5,5,5,0,business,N,10/11/2011,0,N
120444699,199923,5,4,4,5,5,5,5,0,family,N,10/11/2011,0,N
120562082,199923,4,4,5,5,5,5,5,0,family,N,14/11/2011,0,N
120654424,199923,4,4,4,4,5,4,,0,,N,15/11/2011,0,N
120906421,199923,2,2,3,5,2,2,3,0,couple,N,22/11/2011,5,N
121317729,199923,5,5,5,5,5,5,5,0,business,N,02/12/2011,0,N
121647916,199923,3,3,3,5,3,5,5,0,couple,N,11/12/2011,0,N
121711312,199923,5,3,5,5,5,5,5,0,business,N,13/12/2011,0,N
121947536,199923,5,3,5,5,5,5,5,0,business,N,21/12/2011,0,N
