@relation 'marketing data for liner regression-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,4'

@attribute ﻿youtube numeric
@attribute facebook numeric
@attribute newspaper numeric
@attribute Category {A,B}
@attribute sales numeric

@data
284.88,6.12,28.2,A,15
90.12,42,63.24,A,15.12
198.72,12,21.12,A,15.12
318.24,3.48,51.6,B,15.24
348.84,4.92,10.2,B,15.36
212.4,11.16,7.68,B,15.36
216.96,12.96,70.08,B,15.48
248.28,10.08,31.68,B,15.48
105.96,30.6,88.08,B,15.48
158.04,22.08,41.52,B,15.48
144.24,23.52,13.92,B,15.84
163.44,23.04,19.92,B,15.84
288.12,8.76,10.44,B,15.84
102.84,42.96,59.16,B,15.96
167.16,17.4,12.24,B,16.08
270.96,9.84,67.8,B,16.08
278.52,10.32,10.44,B,16.08
82.08,53.4,42.72,B,16.32
123.24,35.52,10.08,B,16.8
210.84,18.48,2.88,B,16.92
144.6,34.2,17.04,B,17.04
207,21.72,36.84,B,17.28
197.4,25.08,56.88,B,17.4
176.76,28.68,22.92,B,17.52
93.84,56.16,41.4,B,17.52
89.64,59.28,54.84,B,17.64
225.48,20.64,21.48,B,17.64
272.64,18.96,59.88,B,17.76
336.24,12.12,25.68,B,17.76
210.12,27,37.8,B,17.88
226.08,21.72,30.72,B,17.88
171.48,35.16,15.12,B,18
341.16,12.72,7.68,B,18
231.84,22.08,78.84,B,18.24
147.72,41.52,14.88,B,18.24
112.68,52.2,60.6,B,18.36
273.96,20.28,31.44,B,18.6
221.88,25.2,26.4,B,18.6
169.56,32.16,55.44,B,18.6
225.36,25.32,11.4,B,18.72
287.16,18.6,32.76,B,18.84
288.12,20.04,27.48,B,19.08
251.52,24.72,12.84,B,19.08
150.84,44.28,95.04,B,19.08
343.2,16.68,4.44,B,19.08
132.84,48.72,75.84,B,19.2
336.84,16.68,44.4,B,19.32
243,26.76,37.92,B,19.92
237.12,27.96,17.04,B,19.92
131.76,57.36,61.68,B,20.04
195.96,37.92,63.48,B,20.28
256.08,29.52,15.72,B,20.4
212.4,40.08,46.44,B,20.52
258.48,28.32,69.12,B,20.52
162.24,50.04,55.08,B,20.64
229.32,34.44,21.84,B,20.76
179.64,42.72,7.2,B,20.76
257.64,28.8,4.8,B,20.88
318.72,24,0.36,B,20.88
304.56,25.56,36,B,21.12
262.08,33.24,64.08,B,21.6
157.32,51.36,34.68,B,21.6
196.2,44.16,8.88,B,21.6
238.92,36.72,46.44,B,21.96
252.84,35.4,11.16,B,22.08
181.8,49.56,70.2,B,22.2
298.56,32.52,27.48,B,22.68
284.88,33,13.2,B,22.68
244.92,39.48,55.2,B,22.8
205.56,47.64,45.24,B,22.8
165.48,55.68,70.8,B,23.04
232.44,42.48,90.72,B,23.04
261.24,40.2,70.8,B,23.28
263.76,40.2,54.12,B,23.52
200.16,50.4,4.32,B,23.52
275.4,38.76,89.04,B,23.64
306.48,32.28,6.6,B,23.76
264.6,39.84,45.48,B,24.12
315.24,34.56,19.08,B,24.24
298.08,36.24,24.36,B,24.24
352.32,33.24,2.16,B,24.84
285.84,41.16,6.36,B,24.84
221.88,52.68,2.04,B,24.84
328.44,34.68,71.64,B,24.96
219.12,55.44,70.44,B,25.44
351.48,33.96,51.84,B,25.68
273.6,45.24,38.4,B,25.8
256.2,51.6,40.56,B,26.04
290.04,45.6,27.84,B,26.16
276.12,45.36,83.04,B,26.52
301.08,43.8,86.76,B,26.64
260.16,52.68,32.64,B,26.76
234.48,57.24,63.48,B,26.88
259.68,50.04,47.52,B,27.12
246,54.12,23.52,B,27.12
287.88,49.8,22.2,B,27.84
238.68,59.28,72,B,28.44
252.96,59.52,45.24,B,28.56
355.68,43.56,121.08,B,28.56
313.56,51.24,65.64,B,29.04
337.68,47.52,66.96,B,29.28
264.36,58.8,3.84,B,29.64
320.28,52.56,6,B,30.48
347.64,50.76,61.44,B,30.48
291.84,58.8,53.16,B,30.48
340.32,50.4,79.44,B,30.6
345.12,51.6,86.16,B,31.44
332.28,58.68,50.16,B,32.4
